Series_reference,Period,Data_value,UNITS
BDCQ.SF1AA2CA,2016.06,1116.386,Dollars
BDCQ.SF1AA2CA,2016.09,1070.874,Dollars
BDCQ.SF1AA2CA,2016.12,1054.408,Dollars
BDCQ.SF1AA2CA,2017.03,1010.665,Dollars
BDCQ.SF1AA2CA,2017.06,1233.7,Dollars
BDCQ.SF1AA2CA,2017.09,1282.436,Dollars
BDCQ.SF1AA2CA,2017.12,1290.82,Dollars
BDCQ.SF1AA2CA,2018.03,1412.007,Dollars
BDCQ.SF1AA2CA,2018.06,1488.055,Dollars
BDCQ.SF1AA2CA,2018.09,1497.678,Dollars
BDCQ.SF1AA2CA,2018.12,1570.507,Dollars
BDCQ.SF1AA2CA,2019.03,1393.749,Dollars
BDCQ.SF1AA2CA,2019.06,1517.143,Dollars
BDCQ.SF1AA2CA,2019.09,1381.514,Dollars
BDCQ.SF1AA2CA,2019.12,1370.985,Dollars
BDCQ.SF1AA2CA,2020.03,1073.017,Dollars
BDCQ.SF1AA2CA,2020.06,1131.445,Dollars
BDCQ.SF1AA2CA,2020.09,1440.101,Dollars
BDCQ.SF1AA2CA,2020.12,1489.979,Dollars
BDCQ.SF1AA2CA,2021.03,1390.782,Dollars
BDCQ.SF1AA2CA,2021.06,1826.73,Dollars
BDCQ.SF1AA2CA,2021.09,1710.073,Dollars
BDCQ.SF1AA2CA,2021.12,1559.479,Dollars
BDCQ.SF1AA2CS,2016.06,1061.018,Dollars
BDCQ.SF1AA2CS,2016.09,1056.768,Dollars
BDCQ.SF1AA2CS,2016.12,1055.36,Dollars
BDCQ.SF1AA2CS,2017.03,1080.448,Dollars
BDCQ.SF1AA2CS,2017.06,1173.466,Dollars
BDCQ.SF1AA2CS,2017.09,1264.858,Dollars
BDCQ.SF1AA2CS,2017.12,1289.438,Dollars
BDCQ.SF1AA2CS,2018.03,1514.155,Dollars
BDCQ.SF1AA2CS,2018.06,1415.188,Dollars
BDCQ.SF1AA2CS,2018.09,1473.388,Dollars
BDCQ.SF1AA2CS,2018.12,1570.581,Dollars
BDCQ.SF1AA2CS,2019.03,1498.297,Dollars
BDCQ.SF1AA2CS,2019.06,1439.574,Dollars
BDCQ.SF1AA2CS,2019.09,1358.892,Dollars
BDCQ.SF1AA2CS,2019.12,1371.997,Dollars
BDCQ.SF1AA2CS,2020.03,1154.162,Dollars
BDCQ.SF1AA2CS,2020.06,1073.228,Dollars
BDCQ.SF1AA2CS,2020.09,1415.474,Dollars
BDCQ.SF1AA2CS,2020.12,1493.196,Dollars
BDCQ.SF1AA2CS,2021.03,1492.882,Dollars
BDCQ.SF1AA2CS,2021.06,1735.291,Dollars
BDCQ.SF1AA2CS,2021.09,1680.567,Dollars
BDCQ.SF1AA2CS,2021.12,1562.499,Dollars
BDCQ.SF1AA2CT,2016.06,1025.402,Dollars
BDCQ.SF1AA2CT,2016.09,1068.123,Dollars
BDCQ.SF1AA2CT,2016.12,1054.054,Dollars
BDCQ.SF1AA2CT,2017.03,1088.598,Dollars
BDCQ.SF1AA2CT,2017.06,1171.274,Dollars
BDCQ.SF1AA2CT,2017.09,1255.195,Dollars
BDCQ.SF1AA2CT,2017.12,1332.812,Dollars
BDCQ.SF1AA2CT,2018.03,1392.728,Dollars
BDCQ.SF1AA2CT,2018.06,1428.35,Dollars
BDCQ.SF1AA2CT,2018.09,1487.256,Dollars
BDCQ.SF1AA2CT,2018.12,1541.834,Dollars
BDCQ.SF1AA2CT,2019.03,1514.345,Dollars
BDCQ.SF1AA2CT,2019.06,1428.467,Dollars
BDCQ.SF1AA2CT,2019.09,1372.411,Dollars
BDCQ.SF1AA2CT,2019.12,1371.693,Dollars
